PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
75693 CEDEX 14,Paris 14,Paris 14,48.8331,2.3264,4,French Restaurant,Italian Restaurant,Hotel,Bar,Bistro,Wine Shop,Garden,Bakery,Sushi Restaurant,Brasserie
75699 CEDEX 14,Paris 14,Paris 14,48.8331,2.3264,4,French Restaurant,Italian Restaurant,Hotel,Bar,Bistro,Wine Shop,Garden,Bakery,Sushi Restaurant,Brasserie
75715 CEDEX 08,Paris 08,Paris 08,48.8763,2.3183,3,Hotel,Café,Italian Restaurant,French Restaurant,Thai Restaurant,Bar,Wine Shop,Japanese Restaurant,Theater,Bistro
75725 CEDEX 15,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75726 CEDEX 15,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75729 CEDEX 15,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75741 CEDEX 15,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75756 CEDEX 15,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75763 CEDEX 16,Paris 16,Paris 16,48.8637,2.2769,2,Bakery,French Restaurant,Café,Pizza Place,Hotel Bar,Italian Restaurant,Grocery Store,Garden,Restaurant,Chinese Restaurant
75783 CEDEX 16,Paris 16,Paris 16,48.8637,2.2769,2,Bakery,French Restaurant,Café,Pizza Place,Hotel Bar,Italian Restaurant,Grocery Store,Garden,Restaurant,Chinese Restaurant
75807 CEDEX 17,Paris 17,Paris 17,48.8835,2.3219,0,Wine Bar,French Restaurant,Bar,Thai Restaurant,Restaurant,Bookstore,Korean Restaurant,Italian Restaurant,Pizza Place,Gym / Fitness Center
75830 CEDEX 17,Paris 17,Paris 17,48.8835,2.3219,0,Wine Bar,French Restaurant,Bar,Thai Restaurant,Restaurant,Bookstore,Korean Restaurant,Italian Restaurant,Pizza Place,Gym / Fitness Center
75839 CEDEX 17,Paris 17,Paris 17,48.8835,2.3219,0,Wine Bar,French Restaurant,Bar,Thai Restaurant,Restaurant,Bookstore,Korean Restaurant,Italian Restaurant,Pizza Place,Gym / Fitness Center
75871 CEDEX 18,Paris 18,Paris 18,48.8925,2.3444,4,French Restaurant,Bar,Restaurant,Pizza Place,Café,Deli / Bodega,Italian Restaurant,Gastropub,Indian Restaurant,Gym / Fitness Center
75899 CEDEX 18,Paris 18,Paris 18,48.8925,2.3444,4,French Restaurant,Bar,Restaurant,Pizza Place,Café,Deli / Bodega,Italian Restaurant,Gastropub,Indian Restaurant,Gym / Fitness Center
75905 CEDEX 15,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75911 CEDEX 15,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75922 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
75946 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
75950 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
